host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
192.168.85.147;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.1;;;tcp;21;ftp;filtered;;;no-response;;3;
192.168.85.1;;;tcp;22;ssh;filtered;;;no-response;;3;
192.168.85.1;;;tcp;23;telnet;filtered;;;no-response;;3;
